plotID,collectDate,horizonName,variable,value
MOAB_006,2016-04-26,Bk,OlsenPExtractable,0.3
MOAB_006,2016-04-26,A,biogeoTopDepth,0
MOAB_006,2016-04-26,A,biogeoBottomDepth,10
MOAB_006,2016-04-26,A,biogeoCenterDepth,5
MOAB_006,2016-04-26,A,airDryOvenDryRatio,1.006
MOAB_006,2016-04-26,A,gypsumConc,NA
MOAB_006,2016-04-26,A,caco3Conc,10
MOAB_006,2016-04-26,A,caNh4d,9.7
MOAB_006,2016-04-26,A,kNh4d,0.2
MOAB_006,2016-04-26,A,mgNh4d,1.6
MOAB_006,2016-04-26,A,naNh4d,0
MOAB_006,2016-04-26,A,cecdNh4,3.4
MOAB_006,2016-04-26,A,alSatCecd33,NA
MOAB_006,2016-04-26,A,baseSumCecd10,11.5
MOAB_006,2016-04-26,A,bsesatCecd10,100
MOAB_006,2016-04-26,A,ececCecd33,NA
MOAB_006,2016-04-26,A,alKcl,NA
MOAB_006,2016-04-26,A,feKcl,NA
MOAB_006,2016-04-26,A,mnKcl,NA
MOAB_006,2016-04-26,A,phCacl2,7.6
MOAB_006,2016-04-26,A,phH2o,8.2
MOAB_006,2016-04-26,A,ec12pre,0.11
MOAB_006,2016-04-26,A,bSatx,NA
MOAB_006,2016-04-26,A,brSatx,NA
MOAB_006,2016-04-26,A,caSatx,NA
MOAB_006,2016-04-26,A,clSatx,NA
MOAB_006,2016-04-26,A,co3Satx,NA
MOAB_006,2016-04-26,A,ecSatp,NA
MOAB_006,2016-04-26,A,flSatx,NA
MOAB_006,2016-04-26,A,waterSatx,NA
MOAB_006,2016-04-26,A,hco3Sx,NA
MOAB_006,2016-04-26,A,kSatx,NA
MOAB_006,2016-04-26,A,mgSatx,NA
MOAB_006,2016-04-26,A,naSatx,NA
MOAB_006,2016-04-26,A,no2Satx,NA
MOAB_006,2016-04-26,A,no3Satx,NA
MOAB_006,2016-04-26,A,pSatx,NA
MOAB_006,2016-04-26,A,phSp,NA
MOAB_006,2016-04-26,A,resist,NA
MOAB_006,2016-04-26,A,so4Satx,NA
MOAB_006,2016-04-26,A,carbonTot,3.6
MOAB_006,2016-04-26,A,nitrogenTot,0.4
MOAB_006,2016-04-26,A,ctonRatio,6
MOAB_006,2016-04-26,A,estimatedOC,2
MOAB_006,2016-04-26,A,sulfurTot,0
MOAB_006,2016-04-26,A,alOxalate,0.02
MOAB_006,2016-04-26,A,feOxalate,0
MOAB_006,2016-04-26,A,mnOxalate,107.4
MOAB_006,2016-04-26,A,pOxalate,44.6
MOAB_006,2016-04-26,A,siOxalate,0
MOAB_006,2016-04-26,A,optDensityOxalate,0
MOAB_006,2016-04-26,A,alCitDithionate,0
MOAB_006,2016-04-26,A,feCitDithionate,0.2
MOAB_006,2016-04-26,A,mnCitDithionate,0
MOAB_006,2016-04-26,A,siliconCitrateDithionate,NA
MOAB_006,2016-04-26,A,acidity,NA
MOAB_006,2016-04-26,A,waterRetention15Bar,NA
MOAB_006,2016-04-26,A,MehlichIIITotP,NA
MOAB_006,2016-04-26,A,Bray1PExtractable,NA
MOAB_006,2016-04-26,A,OlsenPExtractable,4.3
MOAB_006,2016-04-26,Bt2,biogeoTopDepth,59
MOAB_006,2016-04-26,Bt2,biogeoBottomDepth,76
MOAB_006,2016-04-26,Bt2,biogeoCenterDepth,67.5
MOAB_006,2016-04-26,Bt2,airDryOvenDryRatio,1.009
MOAB_006,2016-04-26,Bt2,gypsumConc,NA
MOAB_006,2016-04-26,Bt2,caco3Conc,350
MOAB_006,2016-04-26,Bt2,caNh4d,49.5
MOAB_006,2016-04-26,Bt2,kNh4d,0.1
MOAB_006,2016-04-26,Bt2,mgNh4d,3.2
MOAB_006,2016-04-26,Bt2,naNh4d,0
MOAB_006,2016-04-26,Bt2,cecdNh4,2.6
MOAB_006,2016-04-26,Bt2,alSatCecd33,NA
MOAB_006,2016-04-26,Bt2,baseSumCecd10,52.8
MOAB_006,2016-04-26,Bt2,bsesatCecd10,100
MOAB_006,2016-04-26,Bt2,ececCecd33,NA
MOAB_006,2016-04-26,Bt2,alKcl,NA
MOAB_006,2016-04-26,Bt2,feKcl,NA
MOAB_006,2016-04-26,Bt2,mnKcl,NA
MOAB_006,2016-04-26,Bt2,phCacl2,7.9
MOAB_006,2016-04-26,Bt2,phH2o,8.6
MOAB_006,2016-04-26,Bt2,ec12pre,0.13
MOAB_006,2016-04-26,Bt2,bSatx,NA
MOAB_006,2016-04-26,Bt2,brSatx,NA
MOAB_006,2016-04-26,Bt2,caSatx,NA
MOAB_006,2016-04-26,Bt2,clSatx,NA
MOAB_006,2016-04-26,Bt2,co3Satx,NA
MOAB_006,2016-04-26,Bt2,ecSatp,NA
MOAB_006,2016-04-26,Bt2,flSatx,NA
MOAB_006,2016-04-26,Bt2,waterSatx,NA
MOAB_006,2016-04-26,Bt2,hco3Sx,NA
MOAB_006,2016-04-26,Bt2,kSatx,NA
MOAB_006,2016-04-26,Bt2,mgSatx,NA
MOAB_006,2016-04-26,Bt2,naSatx,NA
MOAB_006,2016-04-26,Bt2,no2Satx,NA
MOAB_006,2016-04-26,Bt2,no3Satx,NA
MOAB_006,2016-04-26,Bt2,pSatx,NA
MOAB_006,2016-04-26,Bt2,phSp,NA
MOAB_006,2016-04-26,Bt2,resist,NA
MOAB_006,2016-04-26,Bt2,so4Satx,NA
MOAB_006,2016-04-26,Bt2,carbonTot,43.5
MOAB_006,2016-04-26,Bt2,nitrogenTot,0.4
MOAB_006,2016-04-26,Bt2,ctonRatio,4
MOAB_006,2016-04-26,Bt2,estimatedOC,2
MOAB_006,2016-04-26,Bt2,sulfurTot,0.1
MOAB_006,2016-04-26,Bt2,alOxalate,0.01
MOAB_006,2016-04-26,Bt2,feOxalate,0
MOAB_006,2016-04-26,Bt2,mnOxalate,30
MOAB_006,2016-04-26,Bt2,pOxalate,11
MOAB_006,2016-04-26,Bt2,siOxalate,0
MOAB_006,2016-04-26,Bt2,optDensityOxalate,0.01
MOAB_006,2016-04-26,Bt2,alCitDithionate,0
MOAB_006,2016-04-26,Bt2,feCitDithionate,0.2
MOAB_006,2016-04-26,Bt2,mnCitDithionate,0
MOAB_006,2016-04-26,Bt2,siliconCitrateDithionate,NA
MOAB_006,2016-04-26,Bt2,acidity,NA
MOAB_006,2016-04-26,Bt2,waterRetention15Bar,NA
MOAB_006,2016-04-26,Bt2,MehlichIIITotP,NA
MOAB_006,2016-04-26,Bt2,Bray1PExtractable,NA
MOAB_006,2016-04-26,Bt2,OlsenPExtractable,0.7
MOAB_015,2016-04-26,A,biogeoTopDepth,0
MOAB_015,2016-04-26,A,biogeoBottomDepth,5
MOAB_015,2016-04-26,A,biogeoCenterDepth,2.5
MOAB_015,2016-04-26,A,airDryOvenDryRatio,1.011
MOAB_015,2016-04-26,A,gypsumConc,NA
MOAB_015,2016-04-26,A,caco3Conc,0
MOAB_015,2016-04-26,A,caNh4d,7.7
MOAB_015,2016-04-26,A,kNh4d,0.3
MOAB_015,2016-04-26,A,mgNh4d,2.5
MOAB_015,2016-04-26,A,naNh4d,0
MOAB_015,2016-04-26,A,cecdNh4,6
MOAB_015,2016-04-26,A,alSatCecd33,NA
MOAB_015,2016-04-26,A,baseSumCecd10,10.5
MOAB_015,2016-04-26,A,bsesatCecd10,100
MOAB_015,2016-04-26,A,ececCecd33,NA
MOAB_015,2016-04-26,A,alKcl,NA
MOAB_015,2016-04-26,A,feKcl,NA
MOAB_015,2016-04-26,A,mnKcl,NA
MOAB_015,2016-04-26,A,phCacl2,7.4
MOAB_015,2016-04-26,A,phH2o,7.9
MOAB_015,2016-04-26,A,ec12pre,0.16
MOAB_015,2016-04-26,A,bSatx,NA
MOAB_015,2016-04-26,A,brSatx,NA
MOAB_015,2016-04-26,A,caSatx,NA
MOAB_015,2016-04-26,A,clSatx,NA
MOAB_015,2016-04-26,A,co3Satx,NA
MOAB_015,2016-04-26,A,ecSatp,NA
MOAB_015,2016-04-26,A,flSatx,NA
MOAB_015,2016-04-26,A,waterSatx,NA
