plotID,subplotID,year,endDate,nspp_native,nspp_exotic,nspp_unk,shannon_native,shannon_exotic,shannon_unk,cover_native,cover_exotic,cover_unk,rel_cover_native,rel_cover_exotic,rel_cover_unk,shannon_total,nspp_total,rc_Fabaceae,rc_Poaceae,rc_exotic_Poaceae,cover_exotic_Poaceae,cover_Fabaceae,cover_Poaceae,rc_native_Poaceae,site
JORN_011,plot,2016,2016-09-10,17,3,1,0.931956613952822,0.5982695885852573,0,26.020833333333332,0.14583333333333331,0.0625,0.9920571882446385,0.005559968228752978,0.002382843526608419,0.9825421150598221,19,0.7362986497220015,0.05837966640190627,NA,NA,19.3125,1.53125,0.05837966640190627,JORN
JORN_011,plot,2017,2017-04-19,8,0,1,0.4833248931056002,0,0,0,0,0.3958333333333333,0,0,0.013678905687544997,0.5194211531759361,8,0.6925845932325414,0,NA,NA,20.041666666666668,0,NA,JORN
JORN_011,plot,2017,2017-09-20,25,1,1,2.6791052505779325,0,0,28.458333333333332,0.08333333333333333,0,0.9834413246940245,0.0028797696184305254,0,2.7726944268190943,26,0,0.06299496040316774,NA,NA,0,1.8229166666666665,0.054355651547876166,JORN
JORN_011,plot,2018,2018-04-13,10,0,3,0.43341105196283713,0,0.5623351446188083,15.895833333333334,0,0.25,0.981981981981982,0,0.015444015444015444,0.5158235123166824,11,0.9073359073359073,0.05791505791505792,NA,NA,14.6875,0.9375,0.04633204633204633,JORN
JORN_011,plot,2018,2018-09-06,3,1,0,0.6365141682948128,0,0,0,0.041666666666666664,0,0,0.002574002574002574,0,1.0397207708399179,3,NA,NA,NA,NA,NA,NA,NA,JORN
JORN_011,plot,2019,2019-04-17,6,0,0,0.7254907752915488,0,0,4.375,0,0,1,0,0,0.7254907752915488,5,0.7857142857142857,0.014285714285714285,NA,NA,3.4375,0.0625,0.014285714285714285,JORN
JORN_012,plot,2015,2015-08-26,18,1,0,1.575718085538588,0,0,8.291666666666666,0.16666666666666666,0,0.980295566502463,0.019704433497536943,0,1.6415560354827994,18,0.5246305418719212,0.3226600985221674,NA,NA,4.4375,2.7291666666666665,0.3226600985221674,JORN
JORN_012,plot,2016,2016-05-08,12,0,0,0.615763365258527,0,0,NA,NA,NA,NA,NA,NA,0.615763365258527,11,0.5884718498659518,0,NA,NA,9.145833333333334,0,NA,JORN
JORN_012,plot,2016,2016-09-11,17,3,0,2.3435122552300567,0.482577565177012,0,15.208333333333334,0.33333333333333337,0,0.9785522788203754,0.02144772117962467,0,2.4616186291523943,18,0,0.1380697050938338,NA,NA,0,2.1458333333333335,0.1380697050938338,JORN
JORN_012,plot,2017,2017-04-19,11,0,0,0.8626071246845542,0,0,NA,NA,NA,NA,NA,NA,0.8626071246845542,10,0.6014492753623188,0,NA,NA,6.916666666666667,0,NA,JORN
JORN_012,plot,2017,2017-09-10,12,4,4,2.1406963589351715,0.9502705392332345,0.9556998911125343,11,0.20833333333333331,0.29166666666666663,0.9565217391304348,0.018115942028985504,0.02536231884057971,2.507858765619118,17,0,0.1358695652173913,NA,NA,0,1.5625,0.1213768115942029,JORN
JORN_012,plot,2018,2018-04-13,11,0,3,0.6170535601079351,0,0.6365141682948128,8.208333333333334,0,0.125,0.985,0,0.015,0.6968399572830781,12,0.8474999999999999,0.0875,NA,NA,7.0625,0.7291666666666666,0.0775,JORN
JORN_012,plot,2018,2018-09-06,3,0,0,0.6730116670092563,0,0,NA,NA,NA,NA,NA,NA,0.6730116670092563,2,NA,NA,NA,NA,NA,NA,NA,JORN
JORN_012,plot,2019,2019-04-17,6,0,0,1.2648667490341146,0,0,1.1875,0,0,1,0,0,1.2648667490341146,5,0.3157894736842105,0.05263157894736842,NA,NA,0.375,0.0625,0.05263157894736842,JORN
JORN_013,plot,2016,2016-05-07,12,0,0,1.908269098647907,0,0,10.791666666666666,0,0,0.9866666666666666,0,0,1.908269098647907,11,0.1219047619047619,0.4019047619047619,NA,NA,1.3333333333333333,4.395833333333333,0.4019047619047619,JORN
JORN_013,plot,2016,2016-09-08,18,1,1,1.9541204881263465,0,0,0,0.08333333333333333,0.0625,0,0.007619047619047619,0.005714285714285714,2.0435345293567924,19,NA,NA,NA,NA,NA,NA,NA,JORN
JORN_013,plot,2017,2017-04-21,16,1,0,1.6314082934095733,0,0,18.15625,0.125,0,0.962451684152402,0.006626173384870238,0,1.6711699916175795,16,0.12589729431253452,0,NA,NA,2.375,0,NA,JORN
JORN_013,plot,2017,2017-09-06,21,0,3,2.4808175042988325,0,0.3404997784712986,0,0,0.5833333333333334,0,0,0.03092214246272778,2.590926783689816,22,0,0.120375483158476,NA,NA,0,2.2708333333333335,0.11706239646604087,JORN
JORN_013,plot,2018,2018-04-12,11,0,1,1.4402717820743167,0,0,9.125,0,0.375,0.9605263157894737,0,0.039473684210526314,1.552015035171856,11,0.22149122807017543,0.1425438596491228,NA,NA,2.1041666666666665,1.3541666666666667,NA,JORN
JORN_013,plot,2018,2018-09-05,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0.10307017543859649,JORN
JORN_013,plot,2019,2019-04-16,8,0,0,1.4473472617793905,0,0,3.9375,0,0,1,0,0,1.4473472617793905,7,0.15873015873015872,0.015873015873015872,NA,NA,0.625,0.0625,0.015873015873015872,JORN
